guid,subspecies,catalognumberint,collectors,state_prov,county,spec_locality,collectornumber,date,parts,sex,dec_lat,dec_long,coordinateuncertaintyinmeters,total length,tail length,hind foot with claw,ear from notch,ear from crown,weight,total length unit,tail length unit,hind foot with claw unit,ear from notch unit,ear from crown unit,weight unit,reproductive data,unformatted measurements
MVZ:Mamm:95853,Sorex trowbridgii trowbridgii,95853,Ward C. Russell,Washington,Cowlitz County,6 mi E mouth Kalama River,Ward C. Russell 8340,1941-06-24,"skin, study; skull",male,46.0339,-122.74447206,32221,126,58,13,7,,6,mm,mm,mm,mm,,g,,
MVZ:Mamm:121861,Sorex trowbridgii mariposae,121861,Alan C. Ziegler,California,Placer County,"Butt Creek, 8 mi S Chester",Alan C. Ziegler 918,1957-09-04,"skin, study; skull",male,40.1988,-121.2061,262,115,53,13,7.5,,4.4,mm,mm,mm,mm,,g,"testes 1/2 x 1 mm, EPIO?",
MVZ:Mamm:128919,Sorex trowbridgii montereyensis,128919,Charles S. Thaeler Jr.,California,Marin County,1.2 mi SSW Inverness,Charles S. Thaeler Jr. 1108,1960-12-10,"skin, study; skull",female,38.0874086,-122.8695965,1294,119,51,13,10,,6.5,mm,mm,mm,mm,,g,,
MVZ:Mamm:191608,Sorex trowbridgii montereyensis,191608,"James L. Patton, Gary M. Fellers",California,Marin County,"Stewart Trail at junction Greenpick trail, 5.2 km S Olema, Point Reyes National Seashore",James L. Patton 17057,1998-06-25,skeleton; tissue (frozen),female,37.9936085,-122.7860072,4429,,,,,,,,,,,,,,
MVZ:Mamm:191612,Sorex trowbridgii montereyensis,191612,"James L. Patton, Gary M. Fellers",California,Marin County,"Stewart Trail at junction Greenpick trail, 5.2 km S Olema, Point Reyes National Seashore",James L. Patton 17061,1998-06-25,skeleton; tissue (frozen),female,37.9936085,-122.7860072,4429,,,,,,,,,,,,,,
MVZ:Mamm:191613,Sorex trowbridgii montereyensis,191613,"James L. Patton, Gary M. Fellers",California,Marin County,"Stewart Trail at junction Greenpick trail, 5.2 km S Olema, Point Reyes National Seashore",James L. Patton 17062,1998-06-25,skeleton; tissue (frozen),female,37.9936085,-122.7860072,4429,,,,,,,,,,,,,,
MVZ:Mamm:178388,Sorex trowbridgii humboldtensis,178388,Martin G. Raphael,California,Trinity County,"Shasta-Trinity National Forest, Beartooth Mt., 4.8 km N, 10 km E Burnt Ranch",Martin G. Raphael 534,1982-12-10,skull,unknown,40.9195595,-123.3645503,2425,,49,14,,,,,mm,mm,,,,,
MVZ:Mamm:178300,Sorex trowbridgii humboldtensis,178300,Martin G. Raphael,California,Trinity County,"Shasta-Trinity National Forest, Beartooth Mt., 4.8 km N, 10 km E Burnt Ranch",Martin G. Raphael 299,1982-12-10,skull,unknown,40.9195595,-123.3645503,2425,102,47,13,7,,,mm,mm,mm,mm,,,,
MVZ:Mamm:178393,Sorex trowbridgii humboldtensis,178393,Martin G. Raphael,California,Trinity County,"Shasta-Trinity National Forest, Beartooth Mt., 4.8 km N, 10 km E Burnt Ranch",Martin G. Raphael 582,1982-12-10,skull,unknown,40.9195595,-123.3645503,2425,108,48,13,8,,,mm,mm,mm,mm,,,,
MVZ:Mamm:178299,Sorex trowbridgii humboldtensis,178299,Martin G. Raphael,California,Trinity County,"Shasta-Trinity National Forest, Beartooth Mt., 4.8 km N, 10 km E Burnt Ranch",Martin G. Raphael 298,1982-12-10,skull,unknown,40.9195595,-123.3645503,2425,100,50,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:178394,Sorex trowbridgii humboldtensis,178394,Martin G. Raphael,California,Trinity County,"Shasta-Trinity National Forest, Beartooth Mt., 4.8 km N, 10 km E Burnt Ranch",Martin G. Raphael 583,1982-12-10,skull,unknown,40.9195595,-123.3645503,2425,114,47,13,6,,,mm,mm,mm,mm,,,,
MVZ:Mamm:94022,Sorex trowbridgii trowbridgii,94022,Ward C. Russell,Washington,Pacific County,3.5 mi SE Chinook,Ward C. Russell 7575,1940-08-15,skull,male,46.237268856,-123.89252897,2871,133,60,15,9,,5.9,mm,mm,mm,mm,,g,,
MVZ:Mamm:208835,Sorex trowbridgii mariposae,208835,James L. Patton,California,Shasta County,"Trapsite R-2, Lassen Volcanic National Park",James L. Patton 21809,2004-06-14,"skeleton; skull; tissue (ethanol, 95%)",female,40.5205994,-121.474732,312,105,51,14,7,,3.5,mm,mm,mm,mm,,g,,
MVZ:Mamm:191614,Sorex trowbridgii montereyensis,191614,"James L. Patton, Gary M. Fellers",California,Marin County,"Stewart Trail at junction Greenpick trail, 5.2 km S Olema, Point Reyes National Seashore",James L. Patton 17063,1998-06-25,skeleton; tissue (frozen),female,37.9936085,-122.7860072,4429,,,,,,,,,,,,,,
MVZ:Mamm:178341,Sorex trowbridgii humboldtensis,178341,Martin G. Raphael,California,Trinity County,"Six Rivers National Forest, Hawkins Creek, 4.8 km E Salyer",Martin G. Raphael 395,1982-11-29,skull,unknown,40.893113,-123.505221,2602,109,48,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:81039,Sorex trowbridgii humboldtensis,81039,"Morris M. Green, H. E. Wilder",California,Humboldt County,Carlotta,773,1927-03-30,"skin, study; skull",male,40.5379163,-124.0586921,3714,118,54,15,,,,mm,mm,mm,,,,,
MVZ:Mamm:178145,Sorex trowbridgii humboldtensis,178145,Martin G. Raphael,California,Trinity County,"Halcon, 5.6 km N, 2.9 km E Salyer",Martin G. Raphael 1500,1983-06-03,skull,unknown,40.94152,-123.54907,3536,85,41,11,,,,mm,mm,mm,,,,,
MVZ:Mamm:177978,Sorex trowbridgii humboldtensis,177978,Martin G. Raphael,California,Humboldt County,"Six Rivers National Forest, Horse Linto, 1.8 km S, 13.7 km E Hoopa",Martin G. Raphael 328,1982-12-13,skull,unknown,41.04637,-123.52031,8125,,50,12,,,,,mm,mm,,,,,
MVZ:Mamm:178031,Sorex trowbridgii humboldtensis,178031,Martin G. Raphael,California,Humboldt County,"Six Rivers National Forest, Horse Linto, 1.8 km S, 13.7 km E Hoopa",Martin G. Raphael 476,1982-12-13,skull,unknown,41.04637,-123.52031,8125,,,12,7,,,,,mm,mm,,,,
MVZ:Mamm:19596,Sorex trowbridgii montereyensis,19596,Joseph Grinnell,California,Marin County,3 mi W Inverness,Joseph Grinnell 2161,1913-05-27,"skin, study; skull",female,38.1010747,-122.9111073,5283,122,55,14,,,,mm,mm,mm,,,,,
MVZ:Mamm:178385,Sorex trowbridgii humboldtensis,178385,Martin G. Raphael,California,Trinity County,"Sopa de Ducko, 3.9 km S, 8 km E Big Bar",Martin G. Raphael 523,1982-11-15,skull,unknown,40.70643,-123.34617,3843,110,49,12,5,,,mm,mm,mm,mm,,,,
MVZ:Mamm:81015,Sorex trowbridgii trowbridgii,81015,"Morris M. Green, David Edward Brown",Washington,Pierce County,Tacoma,522,1919-03-29,"skin, study; skull",male,47.2531,-122.4431,46845,123,60,14,,,,mm,mm,mm,,,,,
MVZ:Mamm:206303,Sorex trowbridgii mariposae,206303,,California,Shasta County,"Trapsite R-2, Lassen Volcanic National Park",,2003-08-16,skeleton; tissue (frozen),female,40.5205994,-121.474732,312,,,,,,,,,,,,,,
MVZ:Mamm:19627,Sorex trowbridgii montereyensis,19627,Charles L. Camp,California,Sonoma County,7 mi W Cazadero,Charles L. Camp 854,1913-06-26,"skeleton; skin, study; skull",female,38.5267372,-123.1768354,805,106,48,13.5,,,,mm,mm,mm,,,,ad.,
