guid,subspecies,catalognumberint,collectors,state_prov,county,spec_locality,collectornumber,date,parts,sex,dec_lat,dec_long,coordinateuncertaintyinmeters,total length,tail length,hind foot with claw,ear from notch,ear from crown,weight,total length unit,tail length unit,hind foot with claw unit,ear from notch unit,ear from crown unit,weight unit,reproductive data,unformatted measurements
MVZ:Mamm:142517,Sorex vagrans vagrans,142517,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1261,1972-06-21,"skin, study; skull",male,49.0833,-123.0833,4149,102,39,12,8,3,4.9,mm,mm,mm,mm,mm,g,testes 3.5 x 5 mm,
MVZ:Mamm:67730,Sorex vagrans vagrans,67730,,British Columbia,,"Vancouver, New Westminster District",,1935-07-21,"skin, study; skull",male,49.2167,-122.9167,4952,86,38,12,,,,mm,mm,mm,,,,,
MVZ:Mamm:142349,Sorex vagrans vagrans,142349,Myrnal L. Hawes,British Columbia,,Boundary Bay,Myrnal L. Hawes 676,1971-12-21,"skin, study; skull",female,49,-123.0333,2622,104,45,13,8,4,3.8,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:142328,Sorex vagrans vagrans,142328,Myrnal L. Hawes,British Columbia,,Boundary Bay,Myrnal L. Hawes 787,1972-02-16,"skin, study; skull",male,49,-123.0333,2622,103,41,12,8,3,5.2,mm,mm,mm,mm,mm,g,testes 3x5 mm,
MVZ:Mamm:169054,,169054,Edward J. Heske,California,Monterey County,Salinas River Wildlife Refuge,Edward J. Heske 420,1982-01-09,skeleton,female,36.740111,-121.803876,322,96,36,11,7,,4,mm,mm,mm,mm,,g,,
MVZ:Mamm:218559,Sorex vagrans vagrans,218559,John D. Perrine,California,Shasta County,"Upper King's Creek Meadow, Lassen Volcanic National Park",John D. Perrine 307,2006-09-11,skull; tissue (frozen); whole organism (ethanol),unknown,40.46521,-121.4764,30,105,37,12,8,,5.65,mm,mm,mm,mm,,g,,
MVZ:Mamm:142854,Sorex vagrans vagrans,142854,"Myrnal L. Hawes, Charles J. Krebs",British Columbia,,"Delta, Westham Island, Westham Island",2670,1972-01-12,"skin, study; skull",male,49.0833,-123.0833,4149,106,44,13,8,5,5.9,mm,mm,mm,mm,mm,g,Testes: 4 x 6 mm,
MVZ:Mamm:143462,Sorex vagrans vagrans,143462,"Myrnal L. Hawes, Charles J. Krebs",British Columbia,,"Serpentine River, Surrey",1112,1972-05-20,"skin, study; skull",male,49.1167,-122.75,3666,109,42,14,8,4,6.1,mm,mm,mm,mm,mm,g,testes: 4 x 5 mm,
MVZ:Mamm:229799,Sorex vagrans vagrans,229799,Sue Fox,California,El Dorado County,"Trout Creek Meadow, South Lake Tahoe",,2003-07-17,DNA (frozen); skeleton; skull; tissue (frozen),female,38.909975,-119.969203,,89,37,12,,,4.7,mm,mm,mm,,,g,"4 nipples showing, moderate in length; 4 placental scars, 2L, 2R; uterus width < 1mm, floppy and vascularized",89
MVZ:Mamm:169039,,169039,Edward J. Heske,California,Monterey County,Salinas River Wildlife Refuge,Edward J. Heske 16,1982-01-09,skeleton,female,36.740111,-121.803876,322,108,39,11,7,,5.6,mm,mm,mm,mm,,g,,
